,stt_time,stt_word
0,00:14,"시작했습니다. 안녕하세요. 안녕하세요. 
아직 안 켜졌나요. 안녕하세요. 란 님 안녕하세요. 
토비 님 안녕하세요. 기다렸어요. 안녕하세요. 
아직 안 나오네요. 조금만 기다려볼게요 안녕하세요. 
안녕하세요."
1,00:34,"안녕하세요. 기다렸어요. 안녕하세요. 
안녕하세요. 여러분 반갑습니다. yks 님 yks 님 지난번에 들어오신 것 같아요. 
낮잠 이불은 안 하는 거죠. 라님 오늘 낮잠 이불은 없습니다. 
오늘은 인경 쿨리트로 만나뵐게요 여러분 오늘 근데 아직 저희 얼굴이 보이나요. 
안녕하세요. 아직 안 보이죠. 여러분 보이면 보인다고 얘기를 좀 해주세요. 
저희 지금 안 보이고 있어 가지고"
2,00:59,"안녕하세요. 지오이 님 안녕하세요. 안 뜨네요. 
왜 안 오늘 지금 거 보이신다고 하시는데 보이세요. 
뜹니다. 안녕하세요. 안녕하세요. 보여요 보여요 뚱이는 고양이 님 기다렸어요. 
안녕하세요."
3,01:20,"안녕하세요. 오늘 시작부터 많이 들어오고 계세요. 
벌써 시작과 동시에 1분 접속하고 들어오십니다. 
심쿵 심쿵 님 보여요 안녕하세요. 네 안녕하세요. 
네 계속 들어오고 계시네요. 매번 라방 참여 중이에요. 
제트 제트 에스 님 감사합니다. 감사합니다. 
오늘 이런 분들이 커피 쿠폰 가져가시면 좋겠습니다."
4,01:41,"자주 저희 라이브 방송 놀러 와 주시는 분들 너무너무 감사합니다. 
안녕하세요. dks 너무 길어요. 안 읽어요. 
네 감사합니다. 캡처 이벤트가 뭔데요. 
김김김 님 좀 이따 제가 캡처를 저희가 해가지고 두 분한테 저희가 방송 때마다 그냥 시원한 아이스 아메리카노를 제공을 제공 선물해 드리고 있고 이거는 이제 구매를 하시든 안 하시든 저희가 그냥 선물로 드리고 있으니까요. 
구매를 하셔도 좋고 하시면 더 좋고 안 하시더라도 저희랑 즐겁게 즐겨주시면 좋을 것 같아요."
5,02:13,"vkd 님 라밤 꾸준히 보고 있어요. 
안녕하세요. 라바 별리 벌써 구매 완료 구매 완료하셨다고 네 벌써 이제 1200분 넘게 들어와 계시고 본격적으로 저희 인사하고 시작할게요 하나 둘 셋 안녕하세요. 
안녕하세요. 여러분 비리엔다 쇼핑 라이브에 오신 여러분 환영합니다. 
여러분 벌써 이제 날씨가 너무 따뜻해졌어요. 
맞아요. 근데"
6,02:39,"지금 날씨가 되게 오락가락해요. 지난주는 또 너무 더웠고 또 오늘은 이번 주는 또 약간 쌀쌀하거든요. 
지금 오락가락합니다. 그러면 이게 지금 이제 본격적으로 더워지기 전에 좀 약간 미쳐가는 거예요. 
여러분 확 떨어져요. 이러다 갑자기 확 떨어지거든요. 
그래서 5월 중순이 넘어가면 본격적으로 날씨가 따뜻해질 거기 때문에 저희가 이제 5월 초에"
7,03:03,"여러분들 미리미리 준비하시라고 얼리버드 썸머 특가를 저희가 릴레이로 준비를 해놨고 오늘은 인간 편으로 준비를 했습니다. 
w 악수 한번 네. 인견 편으로 준비를 했고요. 
인견 플랭킷 기대됩니다. 소코미 님 감사합니다. 
오늘은 저희가 이제 날씨가 본격적으로 더워지기 전에 비비엔다의 대표적인 여름 소재 인견 편으로 준비를 했고요"
8,03:30,"인견 제품 중에 가장 잘 나가는 제품들 모아모아 핫딜로 라이브 방송을 좀 비교도 해드리고 보여드리고 핫딜로 구매하실 수 있는 샹스 드릴 테니까요. 
만약에 비빈다 인견 들어봤지 내가 인견하면 비비엔 라고 들어봤지 하시는 분들은 오늘 인견을 노르셨던 분들은 들어오시면 좋을 것 같아요. 
사실 여름 하면"
9,03:54,"옛날 우리 어르신 때부터 어르신들이 거의 많이 쓰셨죠. 
어르신 때부터 유명한 소재가 인견이에요. 
근데 인견을 사실 유아용품에는 잘 못 썼어요. 
생각을 못했던 생각을 못 했어요. 왜냐면 인경이 시원한 거는 알고 있는데 좀 까슬까슬한 약간 떼 털 같은 그런 특유의 느낌이 있었기 때문에"
10,04:19,"10살이 유아용품 피부가 연약하고 아직 신생아 때 너무 애지중지하는 그런 아가들한테 쓸 생각을 못했던 소재가 인견인데 비비엔다가 어쨌든 소재를 조금 선두해 나가는 기업으로서 저희가 또 소재만 연구하는 팀이 따로 있을 정도로 소재로는 굉장히 유명하잖아요. 
그래서 인견을 저희가 한 5년 6년 전부터 소개하기 시작했고 독보적인 판매율을 지금 저희가 자랑을 하고 있는데 오늘은 그 인견으로 함께 할 거고요 우리"
